.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
D1_1	1	1	1	1	0.25	1	1	1	0.25	1	0.5
D1_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D1_2	1	1	1	1	0.5	1	1	1	0.25	1	0.5
D1_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D2_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D2_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D2_2	1	1	1	1	0.5	1	1	1	0.25	1	0.25
D2_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D3_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D3_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D3_2	1	1	1	1	0.5	1	1	1	0.25	1	0.25
D3_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D4_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D4_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D4_2	1	1	1	1	0.5	1	1	1	0.25	1	0.25
D4_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D5_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D5_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D5_2	1	1	1	1	0.5	1	1	1	0.25	1	0.25
D5_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D6_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D6_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D6_2	1	1	1	1	0.5	1	1	1	0.25	1	0.25
D6_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D7_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D7_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D7_2	1	1	1	1	0.5	1	1	1	0.25	1	0.5
D7_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D8_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D8_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D8_2	1	1	0.5	1	0.5	1	1	1	0.25	1	0.25
D8_2_val_2	1	1	0.5	1	0.25	1	1	0.5	0.25	1	1
D9_1	1	1	1	1	0.25	1	1	1	0.25	1	0.25
D9_1_val_1	1	1	1	1	0.25	1	1	0.5	0.25	1	1
D9_2	1	1	1	1	0.5	1	1	1	0.25	1	0.25
D9_2_val_2	1	1	1	1	0.25	1	1	0.5	0.25	1	1
