Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.000000	0.000000	0.000000
ENSMUSG00000118917	Gm22307	1	+	4599240	4599346	1.831776	0.206085	0.514340
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	0.000000	0.000000	0.000000
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.596112	0.067066	0.167381
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.000000	0.000000	0.000000
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	2.833333	0.318765	0.795564
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.174129	0.019590	0.048893
ENSMUSG00002075947	Gm56275	1	-	4793500	4793602	0.000000	0.000000	0.000000
ENSMUSG00000103265	Gm2053	1	-	4805269	4805899	0.000000	0.000000	0.000000
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	4.200187	0.472544	1.179360
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	43.887082	11.348541	28.323340
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	1.762751	0.198319	0.494958
ENSMUSG00000120403	A930006A01Rik	1	+	4855991	4857360	0.216788	0.024390	0.060871
ENSMUSG00000090031	4732440D04Rik	1	-	6234353	6285517	0.451613	0.092006	0.229625
ENSMUSG00000025907	Rb1cc1	1	+	6276421	6346872	16.215938	10.678286	26.650536
ENSMUSG00000087247	Alkal1	1	+	6429442	6464955	0.234809	0.026417	0.065931
ENSMUSG00000103355	Gm2147	1	+	6450618	6451256	1.015649	0.114266	0.285182
ENSMUSG00000102706	Gm7417	1	-	6452858	6453330	0.566596	0.063745	0.159093
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	84.405324	27.769492	69.306243
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	1.606710	0.180764	0.451144
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	92.081899	48.124913	120.108676
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	18.801824	2.115306	5.279317
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	0.171017	0.019240	0.048019
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	3.318691	2.311645	5.769333
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	42.401632	24.938550	62.240865
ENSMUSG00000103845	Gm19026	1	-	6499879	6511520	0.509713	0.057345	0.143121
ENSMUSG00000033740	St18	1	+	6557455	6931164	0.000000	0.000000	0.000000
ENSMUSG00000102135	Gm37108	1	+	6986783	6993812	0.000000	0.000000	0.000000
ENSMUSG00000048538	Gm9826	1	+	7247963	7249261	24.607162	2.768438	6.909383
ENSMUSG00000102768	Gm19002	1	+	7385675	7386686	0.000000	0.000000	0.000000
ENSMUSG00000097797	Gm26901	1	-	7419630	7468093	0.000000	0.000000	0.000000
ENSMUSG00000120372	Gm57122	1	-	7158447	7159048	1.254153	0.141099	0.352150
ENSMUSG00000051285	Pcmtd1	1	+	7159144	7243852	40.052252	6.450823	16.099765
ENSMUSG00000098201	Gm26983	1	-	7206423	7206810	1.934278	0.217617	0.543121
ENSMUSG00000103509	Gm38372	1	+	7218334	7222361	1.891758	0.212833	0.531182
ENSMUSG00000101571	Gm6187	1	-	9466998	9468912	0.000000	0.000000	0.000000
ENSMUSG00000025909	Sntg1	1	-	8431699	9370103	0.000000	0.000000	0.000000
ENSMUSG00000102647	Gm38024	1	-	8521184	8523715	0.000000	0.000000	0.000000
ENSMUSG00000086235	Gm16284	1	-	8538650	8539049	1.362500	0.153289	0.382573
ENSMUSG00000102253	Gm38259	1	-	8598004	8601537	0.000000	0.000000	0.000000
ENSMUSG00002074990	Gm54704	1	-	8658839	8658948	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8713920	8715083	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8862147	8862386	42.487500	4.780073	11.929958
ENSMUSG00000103933	Gm36964	1	+	8886066	8886263	121.691919	13.690996	34.169566
ENSMUSG00002075967	Gm54706	1	+	8886362	8886471	48.909091	5.502536	13.733060
ENSMUSG00000086195	Gm6152	1	-	8926152	8926491	0.547059	0.061547	0.153607
ENSMUSG00000104504	Gm7445	1	+	8926987	8927326	0.300000	0.033752	0.084236
ENSMUSG00000066693	Gm7493	1	-	9033220	9033845	1.557508	0.175228	0.437329
ENSMUSG00000102316	Gm37629	1	-	9261292	9262341	0.000000	0.000000	0.000000
ENSMUSG00000103819	Gm38008	1	-	9328842	9329359	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9357147	9360405	0.000000	0.000000	0.000000
ENSMUSG00000061024	Rrs1	1	+	9615633	9617680	125.819824	14.155408	35.328630
ENSMUSG00000025911	Adhfe1	1	+	9618173	9650898	1.201720	0.252748	0.630800
ENSMUSG00000079671	2610203C22Rik	1	-	9630705	9701406	0.038029	0.144095	0.359627
ENSMUSG00000081441	Gm6161	1	+	9644773	9645874	20.938913	2.355740	5.879384
ENSMUSG00000067879	Vxn	1	+	9671424	9697368	0.000000	0.000000	0.000000
ENSMUSG00000025912	Mybl1	1	-	9737640	9770434	18.198569	2.330414	5.816176
ENSMUSG00000045210	Vcpip1	1	-	9788847	9818607	31.613391	3.556677	8.876644
ENSMUSG00000097893	1700034P13Rik	1	+	9817873	9862152	0.436222	0.335146	0.836447
ENSMUSG00000042501	Cpa6	1	-	10394945	10790170	0.026170	0.010424	0.026015
ENSMUSG00000103810	Gm38005	1	-	10519470	10522214	0.000000	0.000000	0.000000
ENSMUSG00000083422	Gm15604	1	-	10624323	10625778	0.000000	0.000000	0.000000
ENSMUSG00000119312	Gm25253	1	-	10625779	10625885	0.000000	0.000000	0.000000
ENSMUSG00000081417	Gm15603	1	+	10765348	10765839	3.333333	0.375018	0.935958
ENSMUSG00000100648	Gm28659	1	+	10938912	10939670	0.811594	0.091309	0.227885
ENSMUSG00000048960	Prex2	1	+	11063689	11373905	12.735113	3.248097	8.106502
ENSMUSG00000077318	Gm24173	1	-	11204335	11204462	0.000000	0.000000	0.000000
ENSMUSG00000101827	Gm28686	1	-	11293790	11294398	0.000000	0.000000	0.000000
ENSMUSG00000101610	Gm7560	1	+	12191184	12192056	4.252005	0.478373	1.193910
ENSMUSG00000097628	Gm2383	1	+	12635801	12636607	0.444444	0.050002	0.124794
ENSMUSG00000016918	Sulf1	1	+	12762501	12931416	6.412403	2.950142	7.362873
ENSMUSG00000025915	Sgk3	1	+	9868332	9971070	0.344656	0.329354	0.821991
ENSMUSG00000046334	Gm6195	1	-	9872422	9872778	2.025210	0.227847	0.568654
ENSMUSG00002075801	Gm54812	1	-	9904723	9904827	0.000000	0.000000	0.000000
ENSMUSG00000098234	Snhg6	1	-	9926809	10014398	42.703799	34.549698	86.228073
ENSMUSG00000046101	Mcmdc2	1	+	9978863	10012310	0.000000	0.000000	0.000000
ENSMUSG00000093178	Snord87	1	-	10012688	10012774	0.015492	0.001743	0.004350
ENSMUSG00000099032	Tcf24	1	-	10030388	10038157	4.891486	0.559911	1.397408
ENSMUSG00000104025	E330040D14Rik	1	+	10037539	10038912	0.000000	0.000000	0.000000
ENSMUSG00000025916	Ppp1r42	1	-	10038849	10079361	0.000000	0.000000	0.000000
ENSMUSG00000087199	Gm15818	1	+	10052612	10062591	0.000000	0.000000	0.000000
ENSMUSG00000121270	Gm57177	1	-	10060094	10062168	0.000000	0.000000	0.000000
ENSMUSG00000119658	Gm24674	1	-	10080039	10080142	0.000000	0.000000	0.000000
ENSMUSG00000025917	Cops5	1	-	10094826	10108393	171.728562	43.570024	108.740724
ENSMUSG00000056763	Cspp1	1	+	10108212	10206993	3.768642	3.119260	7.784954
