Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	1.233701	0.101855	0.254983
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	2.668027	0.220274	0.551431
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.064677	0.005340	0.013368
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	4.664172	0.385077	0.963996
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	0.000000	0.000000	0.000000
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.304536	0.025143	0.062942
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.000000	0.000000	0.000000
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	59.010757	11.195882	28.027612
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	2.343179	0.193454	0.484291
ENSMUSG00000090031	4732440D04Rik	1	-	6234353	6285517	0.971153	0.143274	0.358670
ENSMUSG00000025907	Rb1cc1	1	+	6276421	6346872	22.801284	10.100591	25.285676
ENSMUSG00000087247	Alkal1	1	+	6429442	6464955	0.000000	0.000000	0.000000
ENSMUSG00000103355	Gm2147	1	+	6450618	6451256	1.247261	0.102975	0.257785
ENSMUSG00000102706	Gm7417	1	-	6452858	6453330	1.302326	0.107521	0.269166
ENSMUSG00000103845	Gm19026	1	-	6499879	6511520	0.609492	0.050320	0.125970
ENSMUSG00000102135	Gm37108	1	+	6986783	6993812	4.658675	0.384623	0.962860
ENSMUSG00000120372	Gm57122	1	-	7158447	7159048	1.061462	0.087635	0.219384
ENSMUSG00000051285	Pcmtd1	1	+	7159144	7243852	48.211151	5.576578	13.960326
ENSMUSG00000098201	Gm26983	1	-	7206423	7206810	0.189433	0.015640	0.039152
ENSMUSG00000103509	Gm38372	1	+	7218334	7222361	3.037239	0.250756	0.627740
ENSMUSG00000048538	Gm9826	1	+	7247963	7249261	26.870712	2.218463	5.553668
ENSMUSG00000097797	Gm26901	1	-	7419630	7468093	0.014203	0.022699	0.056824
ENSMUSG00000103903	Rps2-ps2	1	+	7734305	7735185	0.304200	0.025115	0.062872
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	109.558273	27.972640	70.026309
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	1.823837	0.150577	0.376953
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	127.424331	49.493846	123.902192
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	23.467014	1.937451	4.850188
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	0.173717	0.014342	0.035904
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	5.381323	2.760047	6.909462
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	59.471657	25.644401	64.197829
ENSMUSG00000025909	Sntg1	1	-	8431699	9370103	0.000000	0.000000	0.000000
ENSMUSG00000102647	Gm38024	1	-	8521184	8523715	0.000000	0.000000	0.000000
ENSMUSG00000086235	Gm16284	1	-	8538650	8539049	3.218750	0.265742	0.665255
ENSMUSG00000102253	Gm38259	1	-	8598004	8601537	0.000000	0.000000	0.000000
ENSMUSG00002074990	Gm54704	1	-	8658839	8658948	0.000000	0.000000	0.000000
ENSMUSG00000103884	Gm37005	1	-	8713920	8715083	0.000000	0.000000	0.000000
ENSMUSG00000084353	Gm15452	1	-	8862147	8862386	48.329846	3.990142	9.988866
ENSMUSG00000103933	Gm36964	1	+	8886066	8886263	152.979295	12.630067	31.617930
ENSMUSG00002075967	Gm54706	1	+	8886362	8886471	68.263636	5.635889	14.108804
ENSMUSG00000086195	Gm6152	1	-	8926152	8926491	1.082362	0.089360	0.223704
ENSMUSG00000104504	Gm7445	1	+	8926987	8927326	0.000000	0.000000	0.000000
ENSMUSG00000066693	Gm7493	1	-	9033220	9033845	1.006401	0.083089	0.208004
ENSMUSG00000102316	Gm37629	1	-	9261292	9262341	0.000000	0.000000	0.000000
ENSMUSG00000103819	Gm38008	1	-	9328842	9329359	0.000000	0.000000	0.000000
ENSMUSG00000102871	Gm37143	1	+	9357147	9360405	0.000000	0.000000	0.000000
ENSMUSG00000101571	Gm6187	1	-	9466998	9468912	0.000000	0.000000	0.000000
ENSMUSG00000102272	Gm7512	1	+	9520804	9521973	0.000000	0.000000	0.000000
ENSMUSG00000065625	Gm24765	1	+	9528895	9528997	0.000000	0.000000	0.000000
ENSMUSG00000103411	Gm18300	1	-	9569563	9571747	0.000000	0.000000	0.000000
ENSMUSG00000061024	Rrs1	1	+	9615633	9617680	162.114258	13.384255	33.505954
ENSMUSG00000025911	Adhfe1	1	+	9618173	9650898	2.731431	0.291646	0.730103
ENSMUSG00000079671	2610203C22Rik	1	-	9630705	9701406	0.076449	0.158846	0.397653
