Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSMUSG00000102269	Gm7357	1	+	4593128	4596960	0.000000	0.000000	0.000000
ENSMUSG00000051951	Xkr4	1	-	3276124	3741721	0.000000	0.000000	0.000000
ENSMUSG00000102851	Gm18956	1	+	3322980	3323459	0.000000	0.000000	0.000000
ENSMUSG00000103377	Gm37180	1	-	3435954	3438772	0.000000	0.000000	0.000000
ENSMUSG00000104017	Gm37363	1	-	3445779	3448011	0.000000	0.000000	0.000000
ENSMUSG00000103025	Gm37686	1	-	3535200	3537508	0.000000	0.000000	0.000000
ENSMUSG00000089699	Gm1992	1	+	3536810	3583776	0.000000	0.000000	0.000000
ENSMUSG00000103201	Gm37329	1	-	3582674	3584730	0.000000	0.000000	0.000000
ENSMUSG00000103147	Gm7341	1	+	3602018	3602943	0.507559	0.041510	0.103603
ENSMUSG00000103161	Gm38148	1	-	3663115	3666126	0.000000	0.000000	0.000000
ENSMUSG00000102331	Gm19938	1	-	3717532	3729127	0.000000	0.000000	0.000000
ENSMUSG00000103280	Gm37277	1	-	4975974	4977084	0.594959	0.048657	0.121443
ENSMUSG00000002459	Rgs20	1	-	4979799	5140508	5.899497	3.070298	7.663089
ENSMUSG00000091305	Gm17100	1	-	4997251	4997522	0.000000	0.000000	0.000000
ENSMUSG00000102653	Gm37079	1	-	5008799	5010933	0.000000	0.000000	0.000000
ENSMUSG00000085623	Gm16041	1	+	5041080	5047043	0.000000	0.000000	0.000000
ENSMUSG00000091665	Gm17101	1	+	5133283	5134870	0.000000	0.000000	0.000000
ENSMUSG00000033793	Atp6v1h	1	+	5140241	5232752	57.530495	24.769288	61.821118
ENSMUSG00000098104	Gm6085	1	-	4758157	4759626	3.216327	0.263040	0.656517
ENSMUSG00000102175	Gm6119	1	-	4762442	4763647	0.261194	0.021361	0.053315
ENSMUSG00002075947	Gm56275	1	-	4793500	4793602	0.000000	0.000000	0.000000
ENSMUSG00000103265	Gm2053	1	-	4805269	4805899	0.000000	0.000000	0.000000
ENSMUSG00000103922	Gm6123	1	+	4841354	4842422	5.000935	0.408991	1.020791
ENSMUSG00000033845	Mrpl15	1	-	4843429	4855962	61.811204	11.686502	29.168082
ENSMUSG00000102275	Gm37144	1	-	4848286	4849435	2.722894	0.222686	0.555797
ENSMUSG00000120403	A930006A01Rik	1	+	4855991	4857360	0.000000	0.000000	0.000000
ENSMUSG00000025903	Lypla1	1	+	4878011	4918633	112.752497	27.108623	67.659813
ENSMUSG00000104217	Gm37988	1	+	4878115	4956993	1.016850	0.083161	0.207559
ENSMUSG00000033813	Tcea1	1	+	4928037	4968132	129.899947	49.393791	123.280872
ENSMUSG00000062588	Gm6104	1	-	4950272	4950874	27.117330	2.217733	5.535190
